"Sex"	"Item Name"	"Area"	"date"	"value type"	"value"	"flag"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 0 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 1 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 2 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"September 2018"	"number"	#	""
